Team,NOC
China,CHN
China,CHN
Denmark,DEN
Denmark/Sweden,DEN
Netherlands,NED
Netherlands,NED
Netherlands,NED
Netherlands,NED
Netherlands,NED
Netherlands,NED
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
Netherlands,NED
Netherlands,NED
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Finland,FIN
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Romania,ROU
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Netherlands,NED
Norway,NOR
Norway,NOR
Netherlands,NED
Netherlands,NED
Netherlands,NED
Estonia,EST
Norway,NOR
Finland,FIN
Finland,FIN
France,FRA
Norway,NOR
Netherlands,NED
Netherlands,NED
Netherlands,NED
Netherlands,NED
Netherlands,NED
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Taifun,NOR
Norway,NOR
Estonia,EST
Estonia,EST
Estonia,EST
Estonia,EST
Estonia,EST
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
Morocco,MAR
Estonia,EST
Estonia,EST
Estonia,EST
Estonia,EST
Spain,ESP
Spain,ESP
Spain,ESP
Spain,ESP
Spain,ESP
Spain,ESP
France,FRA
Egypt,EGY
Iran,IRI
Spain,ESP
France,FRA
France,FRA
Bulgaria,BUL
